model_id,iuid,weight
2051644,HK_20_0P0000VHMZ,0.163700
2051644,HK_20_F00000MC3V,0.157300
2051644,HK_20_F0000147JJ,0.200700
2051644,HK_20_F0GBR04D2K,0.147700
2051644,HK_20_F0GBR04MRF,0.035000
2051644,HK_20_F0GBR04MRX,0.260600
2051644,HK_20_F0HKG05BUU,0.035000
2051645,HK_20_0P0000VHMZ,0.163700
2051645,HK_20_F00000MC3V,0.157300
2051645,HK_20_F0000147JJ,0.200700
2051645,HK_20_F0GBR04D2K,0.147700
2051645,HK_20_F0GBR04MRF,0.035000
2051645,HK_20_F0GBR04MRX,0.260600
2051645,HK_20_F0HKG05BUU,0.035000
2051646,HK_20_0P0000VHMZ,0.163700
2051646,HK_20_F00000MC3V,0.157300
2051646,HK_20_F0000147JJ,0.200700
2051646,HK_20_F0GBR04D2K,0.147700
2051646,HK_20_F0GBR04MRF,0.035000
2051646,HK_20_F0GBR04MRX,0.260600
2051646,HK_20_F0HKG05BUU,0.035000
2051647,HK_20_0P0000VHMZ,0.163700
2051647,HK_20_F00000MC3V,0.157300
2051647,HK_20_F0000147JJ,0.200700
2051647,HK_20_F0GBR04D2K,0.147700
2051647,HK_20_F0GBR04MRF,0.035000
2051647,HK_20_F0GBR04MRX,0.260600
2051647,HK_20_F0HKG05BUU,0.035000
2051648,HK_20_0P0000VHMZ,0.163700
2051648,HK_20_F00000MC3V,0.157300
2051648,HK_20_F0000147JJ,0.200700
2051648,HK_20_F0GBR04D2K,0.147700
2051648,HK_20_F0GBR04MRF,0.035000
2051648,HK_20_F0GBR04MRX,0.260600
2051648,HK_20_F0HKG05BUU,0.035000
2051649,HK_20_0P0000VHMZ,0.163700
2051649,HK_20_F00000MC3V,0.157300
2051649,HK_20_F0000147JJ,0.200700
2051649,HK_20_F0GBR04D2K,0.147700
2051649,HK_20_F0GBR04MRF,0.035000
2051649,HK_20_F0GBR04MRX,0.260600
2051649,HK_20_F0HKG05BUU,0.035000
2051650,HK_20_0P0000VHMZ,0.163700
2051650,HK_20_F00000MC3V,0.157300
2051650,HK_20_F0000147JJ,0.200700
2051650,HK_20_F0GBR04D2K,0.147700
2051650,HK_20_F0GBR04MRF,0.035000
2051650,HK_20_F0GBR04MRX,0.260600
2051650,HK_20_F0HKG05BUU,0.035000
2051651,HK_20_0P0000VHMZ,0.163700
2051651,HK_20_F00000MC3V,0.157300
2051651,HK_20_F0000147JJ,0.200700
2051651,HK_20_F0GBR04D2K,0.147700
2051651,HK_20_F0GBR04MRF,0.035000
2051651,HK_20_F0GBR04MRX,0.260600
2051651,HK_20_F0HKG05BUU,0.035000
2051652,HK_20_0P0000VHMZ,0.163700
2051652,HK_20_F00000MC3V,0.157300
2051652,HK_20_F0000147JJ,0.200700
2051652,HK_20_F0GBR04D2K,0.147700
2051652,HK_20_F0GBR04MRF,0.035000
2051652,HK_20_F0GBR04MRX,0.260600
2051652,HK_20_F0HKG05BUU,0.035000
2051653,HK_20_0P0000VHMZ,0.163700
2051653,HK_20_F00000MC3V,0.157300
2051653,HK_20_F0000147JJ,0.200700
2051653,HK_20_F0GBR04D2K,0.147700
2051653,HK_20_F0GBR04MRF,0.035000
2051653,HK_20_F0GBR04MRX,0.260600
2051653,HK_20_F0HKG05BUU,0.035000
2051654,HK_20_0P0000VHMZ,0.163700
2051654,HK_20_F00000MC3V,0.157300
2051654,HK_20_F0000147JJ,0.200700
2051654,HK_20_F0GBR04D2K,0.147700
2051654,HK_20_F0GBR04MRF,0.035000
2051654,HK_20_F0GBR04MRX,0.260600
2051654,HK_20_F0HKG05BUU,0.035000
2051655,HK_20_0P0000VHMZ,0.163700
2051655,HK_20_F00000MC3V,0.157300
2051655,HK_20_F0000147JJ,0.200700
2051655,HK_20_F0GBR04D2K,0.147700
2051655,HK_20_F0GBR04MRF,0.035000
2051655,HK_20_F0GBR04MRX,0.260600
2051655,HK_20_F0HKG05BUU,0.035000
2051656,HK_20_0P0000VHMZ,0.163700
2051656,HK_20_F00000MC3V,0.157300
2051656,HK_20_F0000147JJ,0.200700
2051656,HK_20_F0GBR04D2K,0.147700
2051656,HK_20_F0GBR04MRF,0.035000
2051656,HK_20_F0GBR04MRX,0.260600
2051656,HK_20_F0HKG05BUU,0.035000
2051657,HK_20_0P0000VHMZ,0.163700
2051657,HK_20_F00000MC3V,0.157300
2051657,HK_20_F0000147JJ,0.200700
2051657,HK_20_F0GBR04D2K,0.147700
2051657,HK_20_F0GBR04MRF,0.035000
2051657,HK_20_F0GBR04MRX,0.260600
2051657,HK_20_F0HKG05BUU,0.035000
2051658,HK_20_0P0000VHMZ,0.163700
2051658,HK_20_F00000MC3V,0.157300
2051658,HK_20_F0000147JJ,0.200700
2051658,HK_20_F0GBR04D2K,0.147700
2051658,HK_20_F0GBR04MRF,0.035000
2051658,HK_20_F0GBR04MRX,0.260600
2051658,HK_20_F0HKG05BUU,0.035000
2051659,HK_20_0P0000VHMZ,0.163700
2051659,HK_20_F00000MC3V,0.157300
2051659,HK_20_F0000147JJ,0.200700
2051659,HK_20_F0GBR04D2K,0.147700
2051659,HK_20_F0GBR04MRF,0.035000
2051659,HK_20_F0GBR04MRX,0.260600
2051659,HK_20_F0HKG05BUU,0.035000
2051660,HK_20_0P0000VHMZ,0.163700
2051660,HK_20_F00000MC3V,0.157300
2051660,HK_20_F0000147JJ,0.200700
2051660,HK_20_F0GBR04D2K,0.147700
2051660,HK_20_F0GBR04MRF,0.035000
2051660,HK_20_F0GBR04MRX,0.260600
2051660,HK_20_F0HKG05BUU,0.035000
2051661,HK_20_0P0000VHMZ,0.163700
2051661,HK_20_F00000MC3V,0.157300
2051661,HK_20_F0000147JJ,0.200700
2051661,HK_20_F0GBR04D2K,0.147700
2051661,HK_20_F0GBR04MRF,0.035000
2051661,HK_20_F0GBR04MRX,0.260600
2051661,HK_20_F0HKG05BUU,0.035000
2051662,HK_20_0P0000VHMZ,0.163700
2051662,HK_20_F00000MC3V,0.157300
2051662,HK_20_F0000147JJ,0.200700
2051662,HK_20_F0GBR04D2K,0.147700
2051662,HK_20_F0GBR04MRF,0.035000
2051662,HK_20_F0GBR04MRX,0.260600
2051662,HK_20_F0HKG05BUU,0.035000
2051663,HK_20_0P0000VHMZ,0.163700
2051663,HK_20_F00000MC3V,0.157300
2051663,HK_20_F0000147JJ,0.200700
2051663,HK_20_F0GBR04D2K,0.147700
2051663,HK_20_F0GBR04MRF,0.035000
2051663,HK_20_F0GBR04MRX,0.260600
2051663,HK_20_F0HKG05BUU,0.035000
2051664,HK_20_0P0000VHMZ,0.163700
2051664,HK_20_F00000MC3V,0.157300
2051664,HK_20_F0000147JJ,0.200700
2051664,HK_20_F0GBR04D2K,0.147700
2051664,HK_20_F0GBR04MRF,0.035000
2051664,HK_20_F0GBR04MRX,0.260600
2051664,HK_20_F0HKG05BUU,0.035000
2051665,HK_20_0P0000VHMZ,0.163700
2051665,HK_20_F00000MC3V,0.157300
2051665,HK_20_F0000147JJ,0.200700
2051665,HK_20_F0GBR04D2K,0.147700
2051665,HK_20_F0GBR04MRF,0.035000
2051665,HK_20_F0GBR04MRX,0.260600
2051665,HK_20_F0HKG05BUU,0.035000
2051666,HK_20_0P0000VHMZ,0.163700
2051666,HK_20_F00000MC3V,0.157300
2051666,HK_20_F0000147JJ,0.200700
2051666,HK_20_F0GBR04D2K,0.147700
2051666,HK_20_F0GBR04MRF,0.035000
2051666,HK_20_F0GBR04MRX,0.260600
2051666,HK_20_F0HKG05BUU,0.035000
2051667,HK_20_0P0000VHMZ,0.163700
2051667,HK_20_F00000MC3V,0.157300
2051667,HK_20_F0000147JJ,0.200700
2051667,HK_20_F0GBR04D2K,0.147700
2051667,HK_20_F0GBR04MRF,0.035000
2051667,HK_20_F0GBR04MRX,0.260600
2051667,HK_20_F0HKG05BUU,0.035000
2051668,HK_20_0P0000VHMZ,0.163700
2051668,HK_20_F00000MC3V,0.157300
