dist_key,dist_type,dist_value,model_id
Others,200,8.110000,2051644
USA,200,29.550000,2051644
Singapore,200,0.830000,2051644
Hong Kong,200,3.200000,2051644
Japan,200,6.370000,2051644
Philippines,200,2.020000,2051644
Thailand,200,1.350000,2051644
Switzerland,200,0.490000,2051644
India,200,2.270000,2051644
Spain,200,1.090000,2051644
Canada,200,2.050000,2051644
Netherlands,200,0.230000,2051644
South Korea,200,3.180000,2051644
China,200,18.780000,2051644
UK,200,3.150000,2051644
Italy,200,4.080000,2051644
Mexico,200,0.710000,2051644
France,200,3.020000,2051644
Australia,200,2.790000,2051644
Germany,200,4.030000,2051644
Indonesia,200,2.700000,2051644
Communication Services,300,12.550000,2051644
Utilities,300,1.060000,2051644
Financial Services,300,14.380000,2051644
Basic Materials,300,2.600000,2051644
Energy,300,2.170000,2051644
Technology,300,22.130000,2051644
Real Estate,300,0.370000,2051644
Healthcare,300,16.220000,2051644
Consumer Defensive,300,5.630000,2051644
Industrials,300,8.680000,2051644
Consumer Cyclical,300,14.210000,2051644
Investment Grade Bond,500,94.980000,2051644
High Yield Bond,500,5.020000,2051644
Others,200,8.110000,2051645
USA,200,29.550000,2051645
Singapore,200,0.830000,2051645
Hong Kong,200,3.200000,2051645
Japan,200,6.370000,2051645
Philippines,200,2.020000,2051645
Thailand,200,1.350000,2051645
Switzerland,200,0.490000,2051645
India,200,2.270000,2051645
Spain,200,1.090000,2051645
Canada,200,2.050000,2051645
Netherlands,200,0.230000,2051645
South Korea,200,3.180000,2051645
China,200,18.780000,2051645
UK,200,3.150000,2051645
Italy,200,4.080000,2051645
Mexico,200,0.710000,2051645
France,200,3.020000,2051645
Australia,200,2.790000,2051645
Germany,200,4.030000,2051645
Indonesia,200,2.700000,2051645
Communication Services,300,12.550000,2051645
Utilities,300,1.060000,2051645
Financial Services,300,14.380000,2051645
Basic Materials,300,2.600000,2051645
Energy,300,2.170000,2051645
Technology,300,22.130000,2051645
Real Estate,300,0.370000,2051645
Healthcare,300,16.220000,2051645
Consumer Defensive,300,5.630000,2051645
Industrials,300,8.680000,2051645
Consumer Cyclical,300,14.210000,2051645
Investment Grade Bond,500,94.980000,2051645
High Yield Bond,500,5.020000,2051645
Others,200,8.110000,2051646
USA,200,29.550000,2051646
Singapore,200,0.830000,2051646
Hong Kong,200,3.200000,2051646
Japan,200,6.370000,2051646
Philippines,200,2.020000,2051646
Thailand,200,1.350000,2051646
Switzerland,200,0.490000,2051646
India,200,2.270000,2051646
