dist_key,dist_type,dist_value,model_id
小市值股票,800,0.420000,192500
科技,300,13.760000,192501
通信服务,300,0.400000,192501
能源,300,0.840000,192501
必需消费品,300,20.170000,192501
非必需消费品,300,11.990000,192501
房地产,300,2.590000,192501
医疗保健,300,5.460000,192501
原材料,300,7.910000,192501
金融,300,20.210000,192501
工业,300,13.990000,192501
公用事业,300,2.680000,192501
国债,700,67.080000,192501
现金等价物,700,20.860000,192501
企业债券,700,12.060000,192501
大市值股票,800,15.160000,192501
中市值股票,800,4.370000,192501
债券,800,72.290000,192501
货币市场,800,7.710000,192501
小市值股票,800,0.470000,192501
科技,300,13.760000,192502
通信服务,300,0.400000,192502
能源,300,0.840000,192502
必需消费品,300,20.170000,192502
非必需消费品,300,11.990000,192502
房地产,300,2.590000,192502
医疗保健,300,5.460000,192502
原材料,300,7.910000,192502
金融,300,20.210000,192502
工业,300,13.990000,192502
公用事业,300,2.680000,192502
国债,700,67.080000,192502
现金等价物,700,20.860000,192502
企业债券,700,12.060000,192502
大市值股票,800,15.160000,192502
中市值股票,800,4.370000,192502
债券,800,72.290000,192502
货币市场,800,7.710000,192502
小市值股票,800,0.470000,192502
科技,300,13.760000,192503
通信服务,300,0.400000,192503
能源,300,0.840000,192503
必需消费品,300,20.170000,192503
非必需消费品,300,11.990000,192503
房地产,300,2.590000,192503
医疗保健,300,5.460000,192503
原材料,300,7.910000,192503
金融,300,20.210000,192503
工业,300,13.990000,192503
公用事业,300,2.680000,192503
国债,700,67.080000,192503
现金等价物,700,20.860000,192503
企业债券,700,12.060000,192503
大市值股票,800,15.160000,192503
中市值股票,800,4.370000,192503
债券,800,72.290000,192503
货币市场,800,7.710000,192503
小市值股票,800,0.470000,192503
科技,300,13.760000,192504
通信服务,300,0.400000,192504
能源,300,0.840000,192504
必需消费品,300,20.170000,192504
非必需消费品,300,11.990000,192504
房地产,300,2.590000,192504
医疗保健,300,5.460000,192504
原材料,300,7.910000,192504
金融,300,20.210000,192504
工业,300,13.990000,192504
公用事业,300,2.680000,192504
国债,700,67.080000,192504
现金等价物,700,20.860000,192504
企业债券,700,12.060000,192504
大市值股票,800,15.160000,192504
中市值股票,800,4.370000,192504
债券,800,72.290000,192504
货币市场,800,7.710000,192504
小市值股票,800,0.470000,192504
科技,300,13.760000,192505
通信服务,300,0.400000,192505
能源,300,0.840000,192505
必需消费品,300,20.170000,192505
非必需消费品,300,11.990000,192505
房地产,300,2.590000,192505
医疗保健,300,5.460000,192505
原材料,300,7.910000,192505
金融,300,20.210000,192505
工业,300,13.990000,192505
公用事业,300,2.680000,192505
国债,700,67.080000,192505
现金等价物,700,20.860000,192505
企业债券,700,12.060000,192505
大市值股票,800,15.160000,192505
中市值股票,800,4.370000,192505
债券,800,72.290000,192505
货币市场,800,7.710000,192505
小市值股票,800,0.470000,192505
科技,300,13.730000,192506
通信服务,300,0.400000,192506
能源,300,0.790000,192506
必需消费品,300,20.360000,192506
非必需消费品,300,12.030000,192506
房地产,300,2.570000,192506
医疗保健,300,5.490000,192506
原材料,300,7.810000,192506
金融,300,20.130000,192506
工业,300,14.000000,192506
公用事业,300,2.690000,192506
国债,700,66.490000,192506
现金等价物,700,21.490000,192506
企业债券,700,12.020000,192506
大市值股票,800,16.670000,192506
中市值股票,800,4.810000,192506
债券,800,70.290000,192506
货币市场,800,7.710000,192506
小市值股票,800,0.520000,192506
科技,300,13.730000,192507
通信服务,300,0.400000,192507
能源,300,0.790000,192507
必需消费品,300,20.360000,192507
非必需消费品,300,12.030000,192507
房地产,300,2.570000,192507
医疗保健,300,5.490000,192507
原材料,300,7.810000,192507
金融,300,20.130000,192507
工业,300,14.000000,192507
公用事业,300,2.690000,192507
国债,700,66.490000,192507
