dist_key,dist_type,dist_value,model_id
UK,200,4.760000,193660
Italy,200,2.390000,193660
Mexico,200,0.380000,193660
France,200,2.420000,193660
Australia,200,2.520000,193660
Germany,200,6.570000,193660
Indonesia,200,2.050000,193660
Communication Services,300,12.190000,193660
Utilities,300,1.430000,193660
Financial Services,300,14.100000,193660
Basic Materials,300,2.710000,193660
Energy,300,1.680000,193660
Technology,300,21.200000,193660
Real Estate,300,0.580000,193660
Healthcare,300,18.530000,193660
Consumer Defensive,300,5.820000,193660
Industrials,300,7.700000,193660
Consumer Cyclical,300,14.060000,193660
Investment Grade Bond,500,96.840000,193660
High Yield Bond,500,3.160000,193660
Others,200,7.660000,193665
USA,200,39.730000,193665
Singapore,200,1.060000,193665
Hong Kong,200,1.730000,193665
Japan,200,8.020000,193665
Philippines,200,1.070000,193665
Thailand,200,0.880000,193665
Switzerland,200,0.810000,193665
India,200,0.790000,193665
Spain,200,3.390000,193665
Canada,200,2.180000,193665
Netherlands,200,0.440000,193665
South Korea,200,2.480000,193665
China,200,8.670000,193665
UK,200,4.760000,193665
Italy,200,2.390000,193665
Mexico,200,0.380000,193665
France,200,2.420000,193665
Australia,200,2.520000,193665
Germany,200,6.570000,193665
Indonesia,200,2.050000,193665
Communication Services,300,12.190000,193665
Utilities,300,1.430000,193665
Financial Services,300,14.100000,193665
Basic Materials,300,2.710000,193665
Energy,300,1.680000,193665
Technology,300,21.200000,193665
Real Estate,300,0.580000,193665
Healthcare,300,18.530000,193665
Consumer Defensive,300,5.820000,193665
Industrials,300,7.700000,193665
Consumer Cyclical,300,14.060000,193665
Investment Grade Bond,500,96.840000,193665
High Yield Bond,500,3.160000,193665
Others,200,7.660000,193670
USA,200,39.730000,193670
Singapore,200,1.060000,193670
Hong Kong,200,1.730000,193670
Japan,200,8.020000,193670
Philippines,200,1.070000,193670
Thailand,200,0.880000,193670
Switzerland,200,0.810000,193670
India,200,0.790000,193670
Spain,200,3.390000,193670
Canada,200,2.180000,193670
Netherlands,200,0.440000,193670
South Korea,200,2.480000,193670
China,200,8.670000,193670
UK,200,4.760000,193670
Italy,200,2.390000,193670
Mexico,200,0.380000,193670
France,200,2.420000,193670
Australia,200,2.520000,193670
Germany,200,6.570000,193670
Indonesia,200,2.050000,193670
Communication Services,300,12.190000,193670
Utilities,300,1.430000,193670
Financial Services,300,14.100000,193670
Basic Materials,300,2.710000,193670
Energy,300,1.680000,193670
Technology,300,21.200000,193670
Real Estate,300,0.580000,193670
Healthcare,300,18.530000,193670
Consumer Defensive,300,5.820000,193670
Industrials,300,7.700000,193670
Consumer Cyclical,300,14.060000,193670
Investment Grade Bond,500,96.840000,193670
High Yield Bond,500,3.160000,193670
Others,200,7.660000,193675
USA,200,39.730000,193675
Singapore,200,1.060000,193675
Hong Kong,200,1.730000,193675
Japan,200,8.020000,193675
Philippines,200,1.070000,193675
Thailand,200,0.880000,193675
Switzerland,200,0.810000,193675
India,200,0.790000,193675
Spain,200,3.390000,193675
Canada,200,2.180000,193675
Netherlands,200,0.440000,193675
South Korea,200,2.480000,193675
China,200,8.670000,193675
UK,200,4.760000,193675
Italy,200,2.390000,193675
Mexico,200,0.380000,193675
France,200,2.420000,193675
Australia,200,2.520000,193675
Germany,200,6.570000,193675
Indonesia,200,2.050000,193675
Communication Services,300,12.190000,193675
Utilities,300,1.430000,193675
Financial Services,300,14.100000,193675
