model_id,iuid,weight
2052644,HK_20_0P0000VHMZ,0.175900
2052644,HK_20_F0HKG05BUU,0.031500
2052644,HK_20_F0GBR04D2K,0.127500
2052644,HK_20_F0GBR04AGE,0.031500
2052644,HK_20_F0000147JJ,0.251900
2052644,HK_20_F00000MC3V,0.119200
2052644,HK_20_F0GBR04MRX,0.262500
2052645,HK_20_0P0000VHMZ,0.175900
2052645,HK_20_F0HKG05BUU,0.031500
2052645,HK_20_F0GBR04D2K,0.127500
2052645,HK_20_F0GBR04AGE,0.031500
2052645,HK_20_F0000147JJ,0.251900
2052645,HK_20_F00000MC3V,0.119200
2052645,HK_20_F0GBR04MRX,0.262500
2052646,HK_20_0P0000VHMZ,0.175900
2052646,HK_20_F0HKG05BUU,0.031500
2052646,HK_20_F0GBR04D2K,0.127500
2052646,HK_20_F0GBR04AGE,0.031500
2052646,HK_20_F0000147JJ,0.251900
2052646,HK_20_F00000MC3V,0.119200
2052646,HK_20_F0GBR04MRX,0.262500
2052647,HK_20_0P0000VHMZ,0.175900
2052647,HK_20_F0HKG05BUU,0.031500
2052647,HK_20_F0GBR04D2K,0.127500
2052647,HK_20_F0GBR04AGE,0.031500
2052647,HK_20_F0000147JJ,0.251900
2052647,HK_20_F00000MC3V,0.119200
2052647,HK_20_F0GBR04MRX,0.262500
2052648,HK_20_0P0000VHMZ,0.175900
2052648,HK_20_F0HKG05BUU,0.031500
2052648,HK_20_F0GBR04D2K,0.127500
2052648,HK_20_F0GBR04AGE,0.031500
2052648,HK_20_F0000147JJ,0.251900
2052648,HK_20_F00000MC3V,0.119200
2052648,HK_20_F0GBR04MRX,0.262500
2052649,HK_20_0P0000VHMZ,0.175900
2052649,HK_20_F0HKG05BUU,0.031500
2052649,HK_20_F0GBR04D2K,0.127500
2052649,HK_20_F0GBR04AGE,0.031500
2052649,HK_20_F0000147JJ,0.251900
2052649,HK_20_F00000MC3V,0.119200
2052649,HK_20_F0GBR04MRX,0.262500
2052650,HK_20_0P0000VHMZ,0.175900
2052650,HK_20_F0HKG05BUU,0.031500
2052650,HK_20_F0GBR04D2K,0.127500
2052650,HK_20_F0GBR04AGE,0.031500
2052650,HK_20_F0000147JJ,0.251900
2052650,HK_20_F00000MC3V,0.119200
2052650,HK_20_F0GBR04MRX,0.262500
2052651,HK_20_0P0000VHMZ,0.175900
2052651,HK_20_F0HKG05BUU,0.031500
2052651,HK_20_F0GBR04D2K,0.127500
2052651,HK_20_F0GBR04AGE,0.031500
2052651,HK_20_F0000147JJ,0.251900
2052651,HK_20_F00000MC3V,0.119200
2052651,HK_20_F0GBR04MRX,0.262500
2052652,HK_20_0P0000VHMZ,0.165800
2052652,HK_20_F0HKG05BUU,0.058500
2052652,HK_20_F0GBR04D2K,0.120100
2052652,HK_20_F0GBR04AGE,0.058500
2052652,HK_20_F0000147JJ,0.237400
2052652,HK_20_F00000MC3V,0.112300
2052652,HK_20_F0GBR04MRX,0.247400
2052653,HK_20_0P0000VHMZ,0.165800
2052653,HK_20_F0HKG05BUU,0.058500
2052653,HK_20_F0GBR04D2K,0.120100
2052653,HK_20_F0GBR04AGE,0.058500
2052653,HK_20_F0000147JJ,0.237400
2052653,HK_20_F00000MC3V,0.112300
2052653,HK_20_F0GBR04MRX,0.247400
2052654,HK_20_0P0000VHMZ,0.165800
2052654,HK_20_F0HKG05BUU,0.058500
2052654,HK_20_F0GBR04D2K,0.120100
2052654,HK_20_F0GBR04AGE,0.058500
2052654,HK_20_F0000147JJ,0.237400
2052654,HK_20_F00000MC3V,0.112300
2052654,HK_20_F0GBR04MRX,0.247400
2052655,HK_20_0P0000VHMZ,0.165800
2052655,HK_20_F0HKG05BUU,0.058500
2052655,HK_20_F0GBR04D2K,0.120100
2052655,HK_20_F0GBR04AGE,0.058500
2052655,HK_20_F0000147JJ,0.237400
2052655,HK_20_F00000MC3V,0.112300
2052655,HK_20_F0GBR04MRX,0.247400
2052656,HK_20_0P0000VHMZ,0.165800
2052656,HK_20_F0HKG05BUU,0.058500
2052656,HK_20_F0GBR04D2K,0.120100
2052656,HK_20_F0GBR04AGE,0.058500
2052656,HK_20_F0000147JJ,0.237400
2052656,HK_20_F00000MC3V,0.112300
2052656,HK_20_F0GBR04MRX,0.247400
2052657,HK_20_0P0000VHMZ,0.165800
2052657,HK_20_F0HKG05BUU,0.058500
2052657,HK_20_F0GBR04D2K,0.120100
2052657,HK_20_F0GBR04AGE,0.058500
2052657,HK_20_F0000147JJ,0.237400
2052657,HK_20_F00000MC3V,0.112300
2052657,HK_20_F0GBR04MRX,0.247400
2052658,HK_20_0P0000VHMZ,0.165800
2052658,HK_20_F0HKG05BUU,0.058500
2052658,HK_20_F0GBR04D2K,0.120100
2052658,HK_20_F0GBR04AGE,0.058500
2052658,HK_20_F0000147JJ,0.237400
2052658,HK_20_F00000MC3V,0.112300
2052658,HK_20_F0GBR04MRX,0.247400
2052659,HK_20_0P0000VHMZ,0.165800
2052659,HK_20_F0HKG05BUU,0.058500
2052659,HK_20_F0GBR04D2K,0.120100
2052659,HK_20_F0GBR04AGE,0.058500
2052659,HK_20_F0000147JJ,0.237400
2052659,HK_20_F00000MC3V,0.112300
2052659,HK_20_F0GBR04MRX,0.247400
2052660,HK_20_0P0000VHMZ,0.165800
2052660,HK_20_F0HKG05BUU,0.058500
2052660,HK_20_F0GBR04D2K,0.120100
2052660,HK_20_F0GBR04AGE,0.058500
2052660,HK_20_F0000147JJ,0.237400
2052660,HK_20_F00000MC3V,0.112300
2052660,HK_20_F0GBR04MRX,0.247400
2052661,HK_20_0P0000VHMZ,0.165800
2052661,HK_20_F0HKG05BUU,0.058500
2052661,HK_20_F0GBR04D2K,0.120100
2052661,HK_20_F0GBR04AGE,0.058500
2052661,HK_20_F0000147JJ,0.237400
2052661,HK_20_F00000MC3V,0.112300
2052661,HK_20_F0GBR04MRX,0.247400
2052662,HK_20_0P0000VHMZ,0.165800
2052662,HK_20_F0HKG05BUU,0.058500
2052662,HK_20_F0GBR04D2K,0.120100
2052662,HK_20_F0GBR04AGE,0.058500
2052662,HK_20_F0000147JJ,0.237400
2052662,HK_20_F00000MC3V,0.112300
2052662,HK_20_F0GBR04MRX,0.247400
2052663,HK_20_0P0000VHMZ,0.165800
2052663,HK_20_F0HKG05BUU,0.058500
2052663,HK_20_F0GBR04D2K,0.120100
2052663,HK_20_F0GBR04AGE,0.058500
2052663,HK_20_F0000147JJ,0.237400
2052663,HK_20_F00000MC3V,0.112300
2052663,HK_20_F0GBR04MRX,0.247400
2052664,HK_20_0P0000VHMZ,0.165800
2052664,HK_20_F0HKG05BUU,0.058500
2052664,HK_20_F0GBR04D2K,0.120100
2052664,HK_20_F0GBR04AGE,0.058500
2052664,HK_20_F0000147JJ,0.237400
2052664,HK_20_F00000MC3V,0.112300
2052664,HK_20_F0GBR04MRX,0.247400
2052665,HK_20_0P0000VHMZ,0.165800
2052665,HK_20_F0HKG05BUU,0.058500
2052665,HK_20_F0GBR04D2K,0.120100
2052665,HK_20_F0GBR04AGE,0.058500
2052665,HK_20_F0000147JJ,0.237400
2052665,HK_20_F00000MC3V,0.112300
2052665,HK_20_F0GBR04MRX,0.247400
2052666,HK_20_0P0000VHMZ,0.165800
2052666,HK_20_F0HKG05BUU,0.058500
2052666,HK_20_F0GBR04D2K,0.120100
2052666,HK_20_F0GBR04AGE,0.058500
2052666,HK_20_F0000147JJ,0.237400
2052666,HK_20_F00000MC3V,0.112300
2052666,HK_20_F0GBR04MRX,0.247400
2052667,HK_20_0P0000VHMZ,0.165800
2052667,HK_20_F0HKG05BUU,0.058500
2052667,HK_20_F0GBR04D2K,0.120100
2052667,HK_20_F0GBR04AGE,0.058500
2052667,HK_20_F0000147JJ,0.237400
2052667,HK_20_F00000MC3V,0.112300
2052667,HK_20_F0GBR04MRX,0.247400
2052668,HK_20_0P0000VHMZ,0.165800
2052668,HK_20_F0HKG05BUU,0.058500
2052668,HK_20_F0GBR04D2K,0.120100
2052668,HK_20_F0GBR04AGE,0.058500
2052668,HK_20_F0000147JJ,0.237400
2052668,HK_20_F00000MC3V,0.112300
2052668,HK_20_F0GBR04MRX,0.247400
2052669,HK_20_0P0000VHMZ,0.165800
2052669,HK_20_F0HKG05BUU,0.058500
2052669,HK_20_F0GBR04D2K,0.120100
2052669,HK_20_F0GBR04AGE,0.058500
2052669,HK_20_F0000147JJ,0.237400
2052669,HK_20_F00000MC3V,0.112300
2052669,HK_20_F0GBR04MRX,0.247400
2052670,HK_20_0P0000VHMZ,0.165800
2052670,HK_20_F0HKG05BUU,0.058500
2052670,HK_20_F0GBR04D2K,0.120100
2052670,HK_20_F0GBR04AGE,0.058500
2052670,HK_20_F0000147JJ,0.237400
2052670,HK_20_F00000MC3V,0.112300
2052670,HK_20_F0GBR04MRX,0.247400
2052671,HK_20_0P0000VHMZ,0.165800
2052671,HK_20_F0HKG05BUU,0.058500
2052671,HK_20_F0GBR04D2K,0.120100
2052671,HK_20_F0GBR04AGE,0.058500
2052671,HK_20_F0000147JJ,0.237400
2052671,HK_20_F00000MC3V,0.112300
2052671,HK_20_F0GBR04MRX,0.247400
2052672,HK_20_0P0000VHMZ,0.165800
2052672,HK_20_F0HKG05BUU,0.058500
2052672,HK_20_F0GBR04D2K,0.120100
2052672,HK_20_F0GBR04AGE,0.058500
2052672,HK_20_F0000147JJ,0.237400
2052672,HK_20_F00000MC3V,0.112300
2052672,HK_20_F0GBR04MRX,0.247400
2052673,HK_20_0P0000VHMZ,0.165800
2052673,HK_20_F0HKG05BUU,0.058500
2052673,HK_20_F0GBR04D2K,0.120100
2052673,HK_20_F0GBR04AGE,0.058500
2052673,HK_20_F0000147JJ,0.237400
2052673,HK_20_F00000MC3V,0.112300
2052673,HK_20_F0GBR04MRX,0.247400
2052674,HK_20_0P0000VHMZ,0.165800
2052674,HK_20_F0HKG05BUU,0.058500
2052674,HK_20_F0GBR04D2K,0.120100
2052674,HK_20_F0GBR04AGE,0.058500
