dist_key,dist_type,dist_value,model_id
Singapore,200,0.990000,2052181
Hong Kong,200,3.670000,2052181
Japan,200,6.720000,2052181
Philippines,200,1.610000,2052181
Thailand,200,1.390000,2052181
Switzerland,200,0.480000,2052181
India,200,2.230000,2052181
Spain,200,1.090000,2052181
Canada,200,2.110000,2052181
Netherlands,200,0.220000,2052181
South Korea,200,3.310000,2052181
China,200,20.020000,2052181
UK,200,3.130000,2052181
Italy,200,4.150000,2052181
Mexico,200,0.740000,2052181
France,200,3.120000,2052181
Australia,200,2.760000,2052181
Germany,200,3.880000,2052181
Indonesia,200,2.370000,2052181
Financial Services,300,18.350000,2052181
Communication Services,300,12.220000,2052181
Utilities,300,1.070000,2052181
Basic Materials,300,1.850000,2052181
Energy,300,5.260000,2052181
Technology,300,17.940000,2052181
Real Estate,300,0.380000,2052181
Healthcare,300,12.420000,2052181
Consumer Defensive,300,5.710000,2052181
Industrials,300,10.410000,2052181
Consumer Cyclical,300,14.390000,2052181
Investment Grade Bond,500,91.520000,2052181
High Yield Bond,500,8.480000,2052181
USA,200,27.960000,2052182
Others,200,8.050000,2052182
Singapore,200,0.990000,2052182
Hong Kong,200,3.670000,2052182
Japan,200,6.720000,2052182
Philippines,200,1.610000,2052182
Thailand,200,1.390000,2052182
Switzerland,200,0.480000,2052182
India,200,2.230000,2052182
Spain,200,1.090000,2052182
Canada,200,2.110000,2052182
Netherlands,200,0.220000,2052182
South Korea,200,3.310000,2052182
China,200,20.020000,2052182
UK,200,3.130000,2052182
Italy,200,4.150000,2052182
Mexico,200,0.740000,2052182
France,200,3.120000,2052182
Australia,200,2.760000,2052182
Germany,200,3.880000,2052182
Indonesia,200,2.370000,2052182
Financial Services,300,18.350000,2052182
Communication Services,300,12.220000,2052182
Utilities,300,1.070000,2052182
Basic Materials,300,1.850000,2052182
Energy,300,5.260000,2052182
Technology,300,17.940000,2052182
Real Estate,300,0.380000,2052182
Healthcare,300,12.420000,2052182
Consumer Defensive,300,5.710000,2052182
Industrials,300,10.410000,2052182
Consumer Cyclical,300,14.390000,2052182
Investment Grade Bond,500,91.520000,2052182
High Yield Bond,500,8.480000,2052182
USA,200,27.960000,2052183
Others,200,8.050000,2052183
Singapore,200,0.990000,2052183
Hong Kong,200,3.670000,2052183
Japan,200,6.720000,2052183
Philippines,200,1.610000,2052183
Thailand,200,1.390000,2052183
Switzerland,200,0.480000,2052183
India,200,2.230000,2052183
Spain,200,1.090000,2052183
Canada,200,2.110000,2052183
Netherlands,200,0.220000,2052183
South Korea,200,3.310000,2052183
China,200,20.020000,2052183
UK,200,3.130000,2052183
Italy,200,4.150000,2052183
Mexico,200,0.740000,2052183
France,200,3.120000,2052183
Australia,200,2.760000,2052183
Germany,200,3.880000,2052183
Indonesia,200,2.370000,2052183
Financial Services,300,18.350000,2052183
Communication Services,300,12.220000,2052183
Utilities,300,1.070000,2052183
Basic Materials,300,1.850000,2052183
Energy,300,5.260000,2052183
Technology,300,17.940000,2052183
Real Estate,300,0.380000,2052183
Healthcare,300,12.420000,2052183
Consumer Defensive,300,5.710000,2052183
Industrials,300,10.410000,2052183
Consumer Cyclical,300,14.390000,2052183
Investment Grade Bond,500,91.520000,2052183
High Yield Bond,500,8.480000,2052183
USA,200,27.960000,2052184
Others,200,8.050000,2052184
Singapore,200,0.990000,2052184
Hong Kong,200,3.670000,2052184
Japan,200,6.720000,2052184
Philippines,200,1.610000,2052184
Thailand,200,1.390000,2052184
Switzerland,200,0.480000,2052184
India,200,2.230000,2052184
Spain,200,1.090000,2052184
Canada,200,2.110000,2052184
Netherlands,200,0.220000,2052184
South Korea,200,3.310000,2052184
China,200,20.020000,2052184
UK,200,3.130000,2052184
Italy,200,4.150000,2052184
Mexico,200,0.740000,2052184
France,200,3.120000,2052184
Australia,200,2.760000,2052184
Germany,200,3.880000,2052184
Indonesia,200,2.370000,2052184
Financial Services,300,18.350000,2052184
Communication Services,300,12.220000,2052184
Utilities,300,1.070000,2052184
Basic Materials,300,1.850000,2052184
Energy,300,5.260000,2052184
Technology,300,17.940000,2052184
Real Estate,300,0.380000,2052184
Healthcare,300,12.420000,2052184
Consumer Defensive,300,5.710000,2052184
Industrials,300,10.410000,2052184
Consumer Cyclical,300,14.390000,2052184
Investment Grade Bond,500,91.520000,2052184
High Yield Bond,500,8.480000,2052184
USA,200,27.960000,2052185
Others,200,8.050000,2052185
Singapore,200,0.990000,2052185
Hong Kong,200,3.670000,2052185
Japan,200,6.720000,2052185
Philippines,200,1.610000,2052185
Thailand,200,1.390000,2052185
Switzerland,200,0.480000,2052185
India,200,2.230000,2052185
Spain,200,1.090000,2052185
Canada,200,2.110000,2052185
Netherlands,200,0.220000,2052185
South Korea,200,3.310000,2052185
China,200,20.020000,2052185
UK,200,3.130000,2052185
Italy,200,4.150000,2052185
Mexico,200,0.740000,2052185
France,200,3.120000,2052185
Australia,200,2.760000,2052185
Germany,200,3.880000,2052185
Indonesia,200,2.370000,2052185
Financial Services,300,18.350000,2052185
Communication Services,300,12.220000,2052185
Utilities,300,1.070000,2052185
Basic Materials,300,1.850000,2052185
Energy,300,5.260000,2052185
Technology,300,17.940000,2052185
Real Estate,300,0.380000,2052185
Healthcare,300,12.420000,2052185
Consumer Defensive,300,5.710000,2052185
Industrials,300,10.410000,2052185
Consumer Cyclical,300,14.390000,2052185
Investment Grade Bond,500,91.520000,2052185
High Yield Bond,500,8.480000,2052185
USA,200,27.960000,2052186
Others,200,8.050000,2052186
Singapore,200,0.990000,2052186
Hong Kong,200,3.670000,2052186
Japan,200,6.720000,2052186
Philippines,200,1.610000,2052186
Thailand,200,1.390000,2052186
Switzerland,200,0.480000,2052186
India,200,2.230000,2052186
Spain,200,1.090000,2052186
Canada,200,2.110000,2052186
Netherlands,200,0.220000,2052186
South Korea,200,3.310000,2052186
China,200,20.020000,2052186
UK,200,3.130000,2052186
Italy,200,4.150000,2052186
Mexico,200,0.740000,2052186
France,200,3.120000,2052186
Australia,200,2.760000,2052186
Germany,200,3.880000,2052186
Indonesia,200,2.370000,2052186
Financial Services,300,18.350000,2052186
Communication Services,300,12.220000,2052186
Utilities,300,1.070000,2052186
Basic Materials,300,1.850000,2052186
Energy,300,5.260000,2052186
Technology,300,17.940000,2052186
Real Estate,300,0.380000,2052186
Healthcare,300,12.420000,2052186
Consumer Defensive,300,5.710000,2052186
Industrials,300,10.410000,2052186
Consumer Cyclical,300,14.390000,2052186
Investment Grade Bond,500,91.520000,2052186
High Yield Bond,500,8.480000,2052186
USA,200,27.960000,2052187
Others,200,8.050000,2052187
Singapore,200,0.990000,2052187
Hong Kong,200,3.670000,2052187
Japan,200,6.720000,2052187
Philippines,200,1.610000,2052187
Thailand,200,1.390000,2052187
Switzerland,200,0.480000,2052187
India,200,2.230000,2052187
Spain,200,1.090000,2052187
Canada,200,2.110000,2052187
Netherlands,200,0.220000,2052187
South Korea,200,3.310000,2052187
China,200,20.020000,2052187
UK,200,3.130000,2052187
Italy,200,4.150000,2052187
Mexico,200,0.740000,2052187
France,200,3.120000,2052187
Australia,200,2.760000,2052187
Germany,200,3.880000,2052187
Indonesia,200,2.370000,2052187
Financial Services,300,18.350000,2052187
Communication Services,300,12.220000,2052187
Utilities,300,1.070000,2052187
Basic Materials,300,1.850000,2052187
Energy,300,5.260000,2052187
Technology,300,17.940000,2052187
Real Estate,300,0.380000,2052187
Healthcare,300,12.420000,2052187
Consumer Defensive,300,5.710000,2052187
Industrials,300,10.410000,2052187
Consumer Cyclical,300,14.390000,2052187
Investment Grade Bond,500,91.520000,2052187
High Yield Bond,500,8.480000,2052187
USA,200,27.960000,2052188
Others,200,8.050000,2052188
Singapore,200,0.990000,2052188
Hong Kong,200,3.670000,2052188
Japan,200,6.720000,2052188
Philippines,200,1.610000,2052188
